Image,Label,Fullpath
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (1).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (10).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 [[3 3 3]
  [4 4 4]
  [2 2 2]
  ...
  [3 3 3]
  [4 4 4]
  [3 3 3]]

 ...

 [[3 3 3]
  [4 4 4]
  [4 4 4]
  ...
  [4 4 4]
  [3 3 3]
  [3 3 3]]

 [[0 0 0]
  [1 1 1]
  [0 0 0]
  ...
  [3 3 3]
  [2 2 2]
  [2 2 2]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [0 0 0]
  [0 0 0]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (100).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [4 4 4]
  [3 3 3]
  [3 3 3]]

 ...

 [[2 2 2]
  [2 2 2]
  [4 4 4]
  ...
  [4 4 4]
  [5 5 5]
  [3 3 3]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [3 3 3]
  [3 3 3]
  [2 2 2]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (101).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [2 2 2]
  [4 4 4]
  [4 4 4]]

 ...

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [3 3 3]
  [2 2 2]
  [2 2 2]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [4 4 4]
  [2 2 2]
  [2 2 2]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [0 0 0]
  [0 0 0]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (102).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 [[3 3 3]
  [4 4 4]
  [2 2 2]
  ...
  [3 3 3]
  [4 4 4]
  [3 3 3]]

 ...

 [[4 4 4]
  [4 4 4]
  [4 4 4]
  ...
  [4 4 4]
  [3 3 3]
  [3 3 3]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [4 4 4]
  [2 2 2]
  [2 2 2]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [0 0 0]
  [0 0 0]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (103).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [1 1 1]
  [2 2 2]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 [[4 4 4]
  [4 4 4]
  [3 3 3]
  ...
  [3 3 3]
  [4 4 4]
  [4 4 4]]

 ...

 [[4 4 4]
  [2 2 2]
  [4 4 4]
  ...
  [3 3 3]
  [3 3 3]
  [3 3 3]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [3 3 3]
  [2 2 2]
  [2 2 2]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [0 0 0]
  [0 0 0]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (104).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [1 1 1]
  [2 2 2]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 [[4 4 4]
  [4 4 4]
  [4 4 4]
  ...
  [4 4 4]
  [3 3 3]
  [3 3 3]]

 ...

 [[3 3 3]
  [3 3 3]
  [5 5 5]
  ...
  [5 5 5]
  [2 2 2]
  [5 5 5]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [4 4 4]
  [6 6 6]
  [3 3 3]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [2 2 2]
  [0 0 0]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (105).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [1 1 1]
  [0 0 0]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 [[3 3 3]
  [4 4 4]
  [4 4 4]
  ...
  [3 3 3]
  [4 4 4]
  [3 3 3]]

 ...

 [[4 4 4]
  [5 5 5]
  [4 4 4]
  ...
  [4 4 4]
  [4 4 4]
  [2 2 2]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [3 3 3]
  [2 2 2]
  [2 2 2]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [0 0 0]
  [0 0 0]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (106).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [2 2 2]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 [[2 2 2]
  [2 2 2]
  [4 4 4]
  ...
  [3 3 3]
  [2 2 2]
  [2 2 2]]

 ...

 [[4 4 4]
  [3 3 3]
  [4 4 4]
  ...
  [3 3 3]
  [3 3 3]
  [3 3 3]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [3 3 3]
  [2 2 2]
  [2 2 2]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [0 0 0]
  [0 0 0]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (107).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [3 3 3]
  [2 2 2]
  [2 2 2]]

 [[4 4 4]
  [4 4 4]
  [4 4 4]
  ...
  [2 2 2]
  [3 3 3]
  [3 3 3]]

 ...

 [[4 4 4]
  [4 4 4]
  [4 4 4]
  ...
  [3 3 3]
  [5 5 5]
  [5 5 5]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [3 3 3]
  [3 3 3]
  [3 3 3]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (108).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [2 2 2]
  [2 2 2]
  [2 2 2]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [3 3 3]
  [3 3 3]
  [3 3 3]]

 ...

 [[4 4 4]
  [4 4 4]
  [3 3 3]
  ...
  [3 3 3]
  [4 4 4]
  [5 5 5]]

 [[2 2 2]
  [2 2 2]
  [2 2 2]
  ...
  [4 4 4]
  [3 3 3]
  [2 2 2]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (109).jpg
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",glioma_tumor,d:\COSAS\BOOTCAMP\MLProyect\data\Training\glioma_tumor\gg (11).jpg
